web-scraper-order,web-scraper-start-url,news-title,pages
"1710310029-1","https://www.cnnindonesia.com/tag/pemilu-2024","DPO PPLN Kuala Lumpur Serahkan Diri, Langsung Ikut Sidang di PN Jakpus",""
"1710310029-2","https://www.cnnindonesia.com/tag/pemilu-2024","Pengamat Nilai Prabowo-Gibran Sebagai Kunci Demokrasi Indonesia",""
"1710310029-3","https://www.cnnindonesia.com/tag/pemilu-2024","Hasil Rekapitulasi 16 Provinsi, Prabowo-Gibran Sapu Bersih Kemenangan",""
"1710310029-4","https://www.cnnindonesia.com/tag/pemilu-2024","DPR Undang KPU Rapat Evaluasi Pemilu 2024 Setelah Rekapitulasi Selesai",""
"1710310029-5","https://www.cnnindonesia.com/tag/pemilu-2024","Kris Dayanti Akui Gagal Lolos DPR di Pemilu 2024",""
"1710310029-6","https://www.cnnindonesia.com/tag/pemilu-2024","KPU Tunda Rekapitulasi Suara Nasional Sulbar",""
"1710310029-7","https://www.cnnindonesia.com/tag/pemilu-2024","Hari Pertama Puasa, Prabowo Unggah Foto Makan Bareng Titiek & Didit",""
"1710310029-8","https://www.cnnindonesia.com/tag/pemilu-2024","KPU: Airin Rachmi Caleg Suara Terbanyak di Dapil Banten III",""
"1710310029-9","https://www.cnnindonesia.com/tag/pemilu-2024","Terpilih Lagi di NTT, Caleg DPR NasDem Ratu Wulla Mengundurkan Diri",""
"1710310029-10","https://www.cnnindonesia.com/tag/pemilu-2024","Raja Yordania Sapa Prabowo 'My Brother, My Friend' saat Beri Selamat",""
"1710310029-11","https://www.cnnindonesia.com/tag/pemilu-2024","DPO PPLN Kuala Lumpur Serahkan Diri, Langsung Ikut Sidang di PN Jakpus",""
"1710310029-12","https://www.cnnindonesia.com/tag/pemilu-2024","Pengamat Nilai Prabowo-Gibran Sebagai Kunci Demokrasi Indonesia",""
"1710310029-13","https://www.cnnindonesia.com/tag/pemilu-2024","Hasil Rekapitulasi 16 Provinsi, Prabowo-Gibran Sapu Bersih Kemenangan",""
"1710310029-14","https://www.cnnindonesia.com/tag/pemilu-2024","DPR Undang KPU Rapat Evaluasi Pemilu 2024 Setelah Rekapitulasi Selesai",""
"1710310029-15","https://www.cnnindonesia.com/tag/pemilu-2024","Kris Dayanti Akui Gagal Lolos DPR di Pemilu 2024",""
"1710310029-16","https://www.cnnindonesia.com/tag/pemilu-2024","KPU Tunda Rekapitulasi Suara Nasional Sulbar",""
"1710310029-17","https://www.cnnindonesia.com/tag/pemilu-2024","Hari Pertama Puasa, Prabowo Unggah Foto Makan Bareng Titiek & Didit",""
"1710310029-18","https://www.cnnindonesia.com/tag/pemilu-2024","KPU: Airin Rachmi Caleg Suara Terbanyak di Dapil Banten III",""
"1710310029-19","https://www.cnnindonesia.com/tag/pemilu-2024","Terpilih Lagi di NTT, Caleg DPR NasDem Ratu Wulla Mengundurkan Diri",""
"1710310029-20","https://www.cnnindonesia.com/tag/pemilu-2024","Raja Yordania Sapa Prabowo 'My Brother, My Friend' saat Beri Selamat",""
"1710310034-21","https://www.cnnindonesia.com/tag/pemilu-2024","Mega Instruksikan Kader Tertawa dan Menangis Bersama Rakyat","https://www.cnnindonesia.com/tag/pemilu-2024/1000"
"1710310034-22","https://www.cnnindonesia.com/tag/pemilu-2024","Arahan Megawati: Jateng Kandang Banteng, Harus Jadi Pelopor Kemenangan","https://www.cnnindonesia.com/tag/pemilu-2024/1000"
"1710310034-23","https://www.cnnindonesia.com/tag/pemilu-2024","FOTO: Konsolidasi untuk Pemilu dan Pilpres, Kader PDIP Penuhi Jatidiri","https://www.cnnindonesia.com/tag/pemilu-2024/1000"
"1710310034-24","https://www.cnnindonesia.com/tag/pemilu-2024","Gibran Hadiri Konsolidasi Pemenangan PDIP dan Ganjar di Semarang","https://www.cnnindonesia.com/tag/pemilu-2024/1000"
"1710310034-25","https://www.cnnindonesia.com/tag/pemilu-2024","Ganjar-Puan Hadiri Konsolidasi di Semarang, Teriakan Presiden Bergema","https://www.cnnindonesia.com/tag/pemilu-2024/1000"
"1710310034-26","https://www.cnnindonesia.com/tag/pemilu-2024","Anies Baswedan Tiba di Rumah SBY di Cikeas, Bawa Buku Catatan","https://www.cnnindonesia.com/tag/pemilu-2024/1000"
"1710310034-27","https://www.cnnindonesia.com/tag/pemilu-2024","VIDEO: Budiman Sudjatmiko Dipecat, Puan: Sudah Selesai Urusannya","https://www.cnnindonesia.com/tag/pemilu-2024/1000"
"1710310034-28","https://www.cnnindonesia.com/tag/pemilu-2024","PKB Ajak Budiman Sudjatmiko Bergabung, Ditawari Nyaleg di Pemilu","https://www.cnnindonesia.com/tag/pemilu-2024/1000"
"1710310034-29","https://www.cnnindonesia.com/tag/pemilu-2024","Demokrat: Anies dan SBY Bahas Strategi Pemenangan di Cikeas","https://www.cnnindonesia.com/tag/pemilu-2024/1000"
